# G #
 
42

# K_g #
 
0, 4
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
7, 4
8, 4
9, 4
10, 4
11, 4
12, 4
13, 4
14, 4
15, 4
16, 4
17, 4
18, 4
19, 4
20, 4
21, 4
22, 4
23, 4
24, 4
25, 4
26, 4
27, 4
28, 4
29, 4
30, 4
31, 4
32, 4
33, 4
34, 4
35, 4
36, 4
37, 4
38, 4
39, 4
40, 4
41, 4

# R #
 
15

# A_{g,k} #
 
0, 0, 7
0, 1, 7
0, 2, 8
0, 3, 7
1, 0, 8
1, 1, 8
1, 2, 9
1, 3, 8
2, 0, 8
2, 1, 8
2, 2, 9
2, 3, 8
3, 0, 8
3, 1, 8
3, 2, 9
3, 3, 8
4, 0, 7
4, 1, 7
4, 2, 8
4, 3, 7
5, 0, 8
5, 1, 8
5, 2, 9
5, 3, 8
6, 0, 8
6, 1, 8
6, 2, 9
6, 3, 8
7, 0, 8
7, 1, 8
7, 2, 9
7, 3, 8
8, 0, 7
8, 1, 7
8, 2, 8
8, 3, 7
9, 0, 8
9, 1, 8
9, 2, 9
9, 3, 8
10, 0, 7
10, 1, 7
10, 2, 8
10, 3, 7
11, 0, 8
11, 1, 8
11, 2, 9
11, 3, 8
12, 0, 7
12, 1, 7
12, 2, 8
12, 3, 7
13, 0, 8
13, 1, 8
13, 2, 9
13, 3, 8
14, 0, 7
14, 1, 7
14, 2, 8
14, 3, 7
15, 0, 8
15, 1, 8
15, 2, 9
15, 3, 8
16, 0, 7
16, 1, 7
16, 2, 8
16, 3, 7
17, 0, 8
17, 1, 8
17, 2, 9
17, 3, 8
18, 0, 7
18, 1, 7
18, 2, 8
18, 3, 7
19, 0, 8
19, 1, 8
19, 2, 9
19, 3, 8
20, 0, 7
20, 1, 7
20, 2, 8
20, 3, 7
21, 0, 6
21, 1, 6
21, 2, 7
21, 3, 6
22, 0, 7
22, 1, 7
22, 2, 8
22, 3, 7
23, 0, 8
23, 1, 8
23, 2, 9
23, 3, 8
24, 0, 8
24, 1, 8
24, 2, 9
24, 3, 8
25, 0, 8
25, 1, 8
25, 2, 9
25, 3, 8
26, 0, 7
26, 1, 7
26, 2, 8
26, 3, 7
27, 0, 8
27, 1, 8
27, 2, 9
27, 3, 8
28, 0, 7
28, 1, 7
28, 2, 8
28, 3, 7
29, 0, 8
29, 1, 8
29, 2, 9
29, 3, 8
30, 0, 7
30, 1, 7
30, 2, 8
30, 3, 7
31, 0, 8
31, 1, 8
31, 2, 9
31, 3, 8
32, 0, 8
32, 1, 8
32, 2, 9
32, 3, 8
33, 0, 7
33, 1, 7
33, 2, 8
33, 3, 7
34, 0, 8
34, 1, 8
34, 2, 9
34, 3, 8
35, 0, 7
35, 1, 7
35, 2, 8
35, 3, 7
36, 0, 8
36, 1, 8
36, 2, 9
36, 3, 8
37, 0, 7
37, 1, 7
37, 2, 8
37, 3, 7
38, 0, 7
38, 1, 7
38, 2, 8
38, 3, 7
39, 0, 8
39, 1, 8
39, 2, 9
39, 3, 8
40, 0, 7
40, 1, 7
40, 2, 8
40, 3, 7
41, 0, 6
41, 1, 6
41, 2, 7
41, 3, 6

# H #
 
44

# L #
 
16

# c_{g,k} #
 
0, 0, 1.0
0, 1, 2.0
0, 2, 1.25
0, 3, 1.5
1, 0, 1.0
1, 1, 2.0
1, 2, 1.25
1, 3, 1.5
2, 0, 1.0
2, 1, 2.0
2, 2, 1.25
